ner_tuple
"(226, 249, 'Civil Rights Act of 1964', 'bk.%CivilRightsAct1964_Writing')"
"(259, 283, 'Voting Rights Act of 1965', 'bk.%VotingRightsAct1965_Writing')"
"(296, 324, '""Letter from Birmingham Jail""', 'bk.%LetterFromBirminghamJail_Writing')"
"(350, 356, 'Memphis', 'bk.@MemphisTennessee')"
"(0, 13, 'James Hal Cone', 'bk.%25JamesHalCone.1_Person')"
"(16, 44, 'August 5, 1938–April 28, 2018', 'date.1938.8.5-2018.4.28')"
"(104, 117, 'Black theology', 'bk.%25BlackTheology_None')"
"(129, 147, 'liberation theology', 'bk.%LiberationTheology_Belief')"
"(160, 189, 'Black Theology and Black Power', 'bk.%BlackTheologyAndBlackPower_Writing')"
"(0, 4, '1700s', 'date.1700+100')"
"(7, 46, 'Slave trade begins in the British Empire', 'bk.tle:slavetradebritishempire')"
"(0, 3, '1773', 'date.1773')"
"(6, 64, 'George Liele founds the first Black church in North America', 'bk.tle:georgelielefoundsfirstblackchurch')"
"(0, 3, '1777', 'date.1777')"
"(6, 56, 'First African Baptist Church of Savannah is founded', 'bk.tle:firstafricanchurchsavannahisfounded')"
"(0, 3, '1784', 'date.1784')"
"(6, 42, 'Methodist Episcopal Church is founded', 'bk.tle%3amethodistepiscopalchurch')"
"(0, 3, '1816', 'date.1816')"
"(6, 38, 'Richard Allen is appointed bishop', 'bk.tle:richardallenappointedbishop')"
"(0, 3, '1831', 'date.1831')"
"(6, 71, 'Nat Turner’s Rebellion takes place in Southampton County, Virginia', 'bk.tle:natturnerrebellion')"
"(0, 3, '1856', 'date.1856')"
"(6, 35, 'Wilberforce College is founded', 'bk.tle:wilberforcecollegeisfounded')"
"(0, 14, 'January 1, 1863', 'date.1863.1.1')"
"(17, 67, 'Abraham Lincoln gives the Emancipation Proclamation', 'bk.tle%3aabrahamlincolngives')"
"(0, 3, '1865', 'date.1865')"
"(6, 41, 'Black churches form in North America', 'bk.tle%3aafricanamericanchurchesform')"
"(0, 3, '1867', 'date.1867')"
"(6, 33, 'Morehouse College is founded', 'bk.tle:morehousecollegeisfounded')"
"(0, 3, '1867', 'date.1867')"
"(6, 45, 'National Holiness Association is founded', 'bk.tle:nationalholinessassociationisfounded')"
"(0, 3, '1895', 'date.1895')"
"(6, 42, 'National Baptist Convention is formed', 'bk.tle:nationalbaptistconventionisformed')"
